KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001178001,T001178002,T001178003,T001178004,T001178005,T001178006,T001178007,T001178008,T001178009,T001178010,T001178011,T001178012,T001178013,T001178014,T001178015,T001178016,T001178017,T001178018,T001178019,T001178020,T001178021,T001178022,T001178023,T001178024,T001178025,T001178026,T001178027,T001178028,T001178029,T001178030,T001178031,T001178032,T001178033,T001178034,T001178035,T001178036,T001178037,T001178038,T001178039,T001178040,T001178041,T001178042,T001178043,T001178044,T001178045,T001178046,T001178047,T001178048,T001178049,T001178050,T001178051,T001178052,T001178053,T001178054,T001178055,T001178056,T001178057,T001178058,T001178059
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇSçŒêlå˚Å@èó,Å@ÇTÅ`ÇXçŒêlå˚Å@ëçêî,Å@ÇTÅ`ÇXçŒêlå˚Å@íj,Å@ÇTÅ`ÇXçŒêlå˚Å@èó,Å@ÇPÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇPÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇPÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTÅ`ÇPÇXçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇPÇXçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇPÇXçŒêlå˚Å@èó,Å@ÇQÇOÅ`ÇQÇSçŒêlå˚Å@ëçêî,Å@ÇQÇOÅ`ÇQÇSçŒêlå˚Å@íj,Å@ÇQÇOÅ`ÇQÇSçŒêlå˚Å@èó,Å@ÇQÇTÅ`ÇQÇXçŒêlå˚Å@ëçêî,Å@ÇQÇTÅ`ÇQÇXçŒêlå˚Å@íj,Å@ÇQÇTÅ`ÇQÇXçŒêlå˚Å@èó,Å@ÇRÇOÅ`ÇRÇSçŒêlå˚Å@ëçêî,Å@ÇRÇOÅ`ÇRÇSçŒêlå˚Å@íj,Å@ÇRÇOÅ`ÇRÇSçŒêlå˚Å@èó,Å@ÇRÇTÅ`ÇRÇXçŒêlå˚Å@ëçêî,Å@ÇRÇTÅ`ÇRÇXçŒêlå˚Å@íj,Å@ÇRÇTÅ`ÇRÇXçŒêlå˚Å@èó,Å@ÇSÇOÅ`ÇSÇSçŒêlå˚Å@ëçêî,Å@ÇSÇOÅ`ÇSÇSçŒêlå˚Å@íj,Å@ÇSÇOÅ`ÇSÇSçŒêlå˚Å@èó,Å@ÇSÇTÅ`ÇSÇXçŒêlå˚Å@ëçêî,Å@ÇSÇTÅ`ÇSÇXçŒêlå˚Å@íj,Å@ÇSÇTÅ`ÇSÇXçŒêlå˚Å@èó,Å@ÇTÇOÅ`ÇTÇSçŒêlå˚Å@ëçêî,Å@ÇTÇOÅ`ÇTÇSçŒêlå˚Å@íj,Å@ÇTÇOÅ`ÇTÇSçŒêlå˚Å@èó,Å@ÇTÇTÅ`ÇTÇXçŒêlå˚Å@ëçêî,Å@ÇTÇTÅ`ÇTÇXçŒêlå˚Å@íj,Å@ÇTÇTÅ`ÇTÇXçŒêlå˚Å@èó,Å@ÇUÇOÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇUÇOÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇUÇOÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇUÇTÅ`ÇUÇXçŒêlå˚Å@ëçêî,Å@ÇUÇTÅ`ÇUÇXçŒêlå˚Å@íj,Å@ÇUÇTÅ`ÇUÇXçŒêlå˚Å@èó,Å@ÇVÇOÅ`ÇVÇSçŒêlå˚Å@ëçêî,Å@ÇVÇOÅ`ÇVÇSçŒêlå˚Å@íj,Å@ÇVÇOÅ`ÇVÇSçŒêlå˚Å@èó,Å@ÇVÇTÅ`ÇVÇXçŒêlå˚Å@ëçêî,Å@ÇVÇTÅ`ÇVÇXçŒêlå˚Å@íj,Å@ÇVÇTÅ`ÇVÇXçŒêlå˚Å@èó,Å@ÇWÇOÅ`ÇWÇSçŒêlå˚Å@ëçêî,Å@ÇWÇOÅ`ÇWÇSçŒêlå˚Å@íj,Å@ÇWÇOÅ`ÇWÇSçŒêlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ïΩãœîNóÓ,Å@îNóÓíÜà êî
5339770933,0,,,46,22,24,1,0,1,2,0,2,1,1,0,2,1,1,2,1,1,1,0,1,1,0,1,3,3,0,3,2,1,0,0,0,5,2,3,1,0,1,7,4,3,5,3,2,4,1,3,5,3,2,0,0,0,3,1,2,53.2,61
5339770934,0,,,24,11,13,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,2,1,1,0,0,0,3,0,3,4,2,2,0,0,0,1,1,0,2,1,1,1,0,1,2,1,1,1,1,0,0,0,0,2,1,1,2,1,1,49,41.5
5339770942,0,,,37,21,16,1,1,0,1,1,0,2,0,2,4,2,2,4,3,1,0,0,0,4,4,0,2,1,1,3,0,3,5,3,2,4,3,1,0,0,0,3,1,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,38.7,40
5339770943,0,,,26,14,12,1,1,0,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,2,2,3,1,2,1,0,1,1,1,0,0,0,0,4,2,2,3,2,1,1,1,0,1,0,1,0,0,0,1,0,1,44.9,42
5339770944,0,,,576,288,288,17,13,4,18,14,4,27,14,13,52,29,23,51,26,25,34,15,19,30,11,19,25,10,15,29,14,15,46,13,33,73,39,34,55,28,27,36,21,15,28,16,12,20,9,11,10,6,4,13,7,6,10,2,8,42.1,45
5339771822,2,5339771823,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339771823,1,,5339771822,12,6,6,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,1,1,0,1,1,0,0,0,0,2,1,1,2,1,1,2,0,2,2,1,1,1,0,1,1,0,1,53.7,61
5339771824,0,,,29,14,15,1,1,0,2,1,1,1,0,1,3,1,2,2,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,4,2,2,2,1,1,1,1,0,2,1,1,1,1,0,3,1,2,0,0,0,3,1,2,47.2,51
5339771841,0,,,46,22,24,1,0,1,2,1,1,5,2,3,3,2,1,1,1,0,0,0,0,3,0,3,5,3,2,3,2,1,3,2,1,2,1,1,2,1,1,5,2,3,3,0,3,6,4,2,0,0,0,1,1,0,1,0,1,44.5,44.5
5339771842,0,,,113,43,70,1,1,0,4,3,1,2,1,1,2,0,2,0,0,0,3,1,2,2,1,1,5,3,2,3,1,2,1,0,1,5,3,2,7,3,4,8,4,4,6,2,4,7,6,1,6,2,4,15,4,11,36,8,28,67.9,76
5339771843,0,,,18,9,9,2,2,0,2,0,2,2,1,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,2,1,1,0,0,0,0,0,0,1,0,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,36.5,35
5339771844,0,,,97,48,49,1,1,0,1,1,0,6,1,5,6,3,3,6,4,2,0,0,0,6,4,2,7,5,2,3,2,1,4,1,3,5,3,2,11,5,6,10,6,4,8,4,4,1,1,0,8,3,5,6,1,5,8,3,5,52.1,57
5339771911,0,,,60,31,29,0,0,0,5,3,2,6,2,4,2,2,0,4,1,3,3,2,1,2,1,1,6,2,4,3,3,0,1,1,0,3,1,2,9,3,6,7,6,1,3,1,2,3,2,1,1,0,1,0,0,0,2,1,1,43.2,41.5
5339771912,0,,,29,14,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,1,3,2,1,1,1,0,1,1,0,2,1,1,1,1,0,3,0,3,5,2,3,2,2,0,1,0,1,0,0,0,4,1,3,55.7,60
5339771913,0,,,47,24,23,0,0,0,1,0,1,4,1,3,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,5,2,3,2,2,0,6,4,2,5,2,3,2,2,0,6,2,4,4,2,2,4,2,2,4,3,1,0,0,0,53.9,56
5339771914,0,,,23,12,11,2,1,1,1,0,1,0,0,0,0,0,0,3,2,1,2,1,1,2,1,1,0,0,0,0,0,0,2,1,1,3,2,1,1,0,1,0,0,0,1,1,0,2,1,1,1,0,1,2,1,1,1,1,0,46.1,49
