KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001208001,T001208002,T001208003,T001208004,T001208005,T001208006,T001208007,T001208008,T001208009,T001208010,T001208011,T001208012,T001208013,T001208014,T001208015,T001208016,T001208017,T001208018,T001208019,T001208020,T001208021,T001208022,T001208023,T001208024,T001208025,T001208026,T001208027,T001208028,T001208029,T001208030,T001208031,T001208032,T001208033,T001208034,T001208035,T001208036,T001208037,T001208038,T001208039,T001208040,T001208041,T001208042,T001208043,T001208044,T001208045,T001208046,T001208047,T001208048,T001208049
,,,,　常住者（現住地による人口）　総数,　常住者（現住地による人口）　男,　常住者（現住地による人口）　女,　５年前の常住地が現住所　総数,　５年前の常住地が現住所　男,　５年前の常住地が現住所　女,　５年前の常住地が現住所以外　総数,　５年前の常住地が現住所以外　男,　５年前の常住地が現住所以外　女,　　５年前の常住地が自市区町村内　総数,　　５年前の常住地が自市区町村内　男,　　５年前の常住地が自市区町村内　女,　　５年前の常住地が自市内他区・県内他市区町村　総数,　　５年前の常住地が自市内他区・県内他市区町村　男,　　５年前の常住地が自市内他区・県内他市区町村　女,　　５年前の常住地が他県・国外　総数,　　５年前の常住地が他県・国外　男,　　５年前の常住地が他県・国外　女,　常住者（現住地による５歳以上人口）　総数,　常住者（現住地による５歳以上人口）　男,　常住者（現住地による５歳以上人口）　女,　５年前の常住地が現住所（５歳以上人口）　総数,　５年前の常住地が現住所（５歳以上人口）　男,　５年前の常住地が現住所（５歳以上人口）　女,　５年前の常住地が現住所以外（５歳以上人口）　総数,　５年前の常住地が現住所以外（５歳以上人口）　男,　５年前の常住地が現住所以外（５歳以上人口）　女,　　５年前の常住地が自市区町村内（５歳以上人口）　総数,　　５年前の常住地が自市区町村内（５歳以上人口）　男,　　５年前の常住地が自市区町村内（５歳以上人口）　女,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　総数,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　男,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　女,　　５年前の常住地が他県・国外（５歳以上人口）　総数,　　５年前の常住地が他県・国外（５歳以上人口）　男,　　５年前の常住地が他県・国外（５歳以上人口）　女,　当地に常住する就業者・通学者　総数,　当地に常住する就業者数,　当地に常住する通学者数,　　自宅で従業　就業者数,　　自宅外の自市区町村で従業・通学　総数,　　自宅外の自市区町村で従業・通学　就業者数,　　自宅外の自市区町村で従業・通学　通学者数,　　自市内他区・県内他市区町村で従業・通学　総数,　　自市内他区・県内他市区町村で従業・通学　就業者数,　　自市内他区・県内他市区町村で従業・通学　通学者数,　　他県で従業・通学　総数,　　他県で従業・通学　就業者数,　　他県で従業・通学　通学者数
5339770933,0,,,46,22,24,44,21,23,2,1,1,1,1,0,1,0,1,0,0,0,45,22,23,43,21,22,2,1,1,1,1,0,1,0,1,0,0,0,25,23,2,4,12,12,0,7,5,2,2,2,0
5339770934,0,,,24,11,13,23,11,12,1,0,1,0,0,0,0,0,0,1,0,1,24,11,13,23,11,12,1,0,1,0,0,0,0,0,0,1,0,1,14,14,0,3,3,3,0,7,7,0,1,1,0
5339770942,0,,,37,21,16,31,16,15,4,3,1,2,1,1,0,0,0,2,2,0,35,19,16,30,15,15,4,3,1,2,1,1,0,0,0,2,2,0,23,19,4,0,9,8,1,8,5,3,4,4,0
5339770943,0,,,26,14,12,25,13,12,1,1,0,0,0,0,0,0,0,1,1,0,25,13,12,24,12,12,1,1,0,0,0,0,0,0,0,1,1,0,11,11,0,0,5,5,0,1,1,0,5,5,0
5339770944,0,,,576,288,288,469,241,228,103,46,57,36,15,21,21,10,11,46,21,25,557,274,283,456,232,224,99,42,57,36,15,21,19,8,11,44,19,25,364,291,73,9,77,71,6,100,79,21,172,127,45
5339771822,2,5339771823,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339771823,1,,5339771822,19,10,9,18,9,9,1,1,0,1,1,0,0,0,0,0,0,0,19,10,9,18,9,9,1,1,0,1,1,0,0,0,0,0,0,0,7,7,0,2,1,1,0,2,2,0,0,0,0
5339771824,0,,,29,14,15,28,14,14,1,0,1,0,0,0,0,0,0,1,0,1,28,13,15,27,13,14,1,0,1,0,0,0,0,0,0,1,0,1,19,15,4,5,4,3,1,5,2,3,4,4,0
5339771841,0,,,46,22,24,44,21,23,2,1,1,2,1,1,0,0,0,0,0,0,45,22,23,43,21,22,2,1,1,2,1,1,0,0,0,0,0,0,28,24,4,4,15,13,2,4,2,2,5,5,0
5339771842,0,,,113,43,70,67,30,37,46,13,33,39,11,28,6,2,4,1,0,1,112,42,70,66,29,37,46,13,33,39,11,28,6,2,4,1,0,1,30,28,2,2,8,8,0,11,11,0,5,4,1
5339771843,0,,,18,9,9,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,16,7,9,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,1,1,0,2,2,0,2,2,0
5339771844,0,,,97,48,49,94,46,48,3,2,1,3,2,1,0,0,0,0,0,0,96,47,49,93,45,48,3,2,1,3,2,1,0,0,0,0,0,0,51,41,10,6,20,15,5,13,12,1,8,4,4
5339771911,0,,,60,31,29,55,28,27,5,3,2,0,0,0,4,3,1,1,0,1,60,31,29,55,28,27,5,3,2,0,0,0,4,3,1,1,0,1,34,31,3,2,15,14,1,8,7,1,8,8,0
5339771912,0,,,29,14,15,28,14,14,1,0,1,1,0,1,0,0,0,0,0,0,28,13,15,27,13,14,1,0,1,1,0,1,0,0,0,0,0,0,18,18,0,2,7,7,0,6,6,0,2,2,0
5339771913,0,,,47,24,23,46,23,23,1,1,0,0,0,0,0,0,0,1,1,0,47,24,23,46,23,23,1,1,0,0,0,0,0,0,0,1,1,0,29,28,1,5,9,9,0,9,8,1,6,6,0
5339771914,0,,,23,12,11,22,12,10,1,0,1,0,0,0,0,0,0,1,0,1,21,11,10,20,11,9,1,0,1,0,0,0,0,0,0,1,0,1,12,11,1,4,3,3,0,1,1,0,4,3,1
5339771921,2,5339771922,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339771922,1,,5339771921,42,16,26,34,12,22,8,4,4,7,3,4,1,1,0,0,0,0,41,16,25,34,12,22,7,4,3,6,3,3,1,1,0,0,0,0,25,19,6,1,9,9,0,8,3,5,6,6,0
5339771923,0,,,153,80,73,123,64,59,29,15,14,9,5,4,3,2,1,17,8,9,149,77,72,119,61,58,29,15,14,9,5,4,3,2,1,17,8,9,102,86,16,4,24,23,1,33,27,6,39,31,8
