01000,北海道,2026-03-23,
02000,青森県,2026-03-25,
03000,岩手県,2026-04-08,
04000,宮城県,2026-03-24,
05000,秋田県,2026-03-23,
06000,山形県,2026-04-02,
07000,福島県,2026-03-19,
08000,茨城県,2026-03-31,
09000,栃木県,2026-03-24,
10000,群馬県,2026-03-25,
11000,埼玉県,2026-03-25,
12000,千葉県,2026-04-06,
13000,東京都,2026-03-23,
14000,神奈川県,2026-04-08,
15000,新潟県,2026-04-02,
16000,富山県,2026-02-26,
17000,石川県,2026-03-31,
18000,福井県,2026-03-31,
19000,山梨県,2026-03-09,
20000,長野県,2026-03-31,
21000,岐阜県,2026-03-20,
22000,静岡県,2026-03-25,
23000,愛知県,2026-04-08,
24000,三重県,2026-03-24,
25000,滋賀県,2026-03-24,
26000,京都府,2026-01-16,
27000,大阪府,2026-03-31,
28000,兵庫県,2026-04-24,
29000,奈良県,2026-03-31,
30000,和歌山県,2026-04-07,
31000,鳥取県,2026-03-09,
32000,島根県,2026-03-24,
33000,岡山県,2026-03-16,
34000,広島県,2026-04-02,
35000,山口県,2026-03-19,
36000,徳島県,2026-04-02,
37000,香川県,2026-03-24,
38000,愛媛県,2026-03-04,
39000,高知県,2026-03-19,
40000,福岡県,2026-03-16,
41000,佐賀県,2026-03-19,
42000,長崎県,2026-03-24,
43000,熊本県,2026-03-09,
44000,大分県,2026-03-25,
45000,宮崎県,2026-04-24,
46000,鹿児島県,2026-03-04,
47000,沖縄県,2026-03-31,
