name,capacity,lon,lat
鬼怒中学校,1374,139.981399,36.069443
五箇公民館,91,140.002629,36.072157
五箇小学校,809,140.00409,36.06936
三妻公民館,106,139.981102,36.074849
三妻小学校,1167,139.981926,36.068277
図書館,153,139.987551,36.016989
水海道公民館（勤労青少年ホーム）,270,139.988412,36.019777
水海道西中学校,1935,139.968235,36.02792
水海道第三保育所,561,139.98584,36.010121
水海道第二高等学校,1735,139.990288,36.028111
水海道第二保育所,126,139.980399,36.062861
水海道第六保育所,181,139.983067,36.036003
水海道中学校,2006,139.985233,36.035003
生涯学習センター,1333,139.98671,36.014303
大花羽公民館,92,139.973939,36.06678
大花羽小学校,892,139.972816,36.06711
大生公民館,91,140.005409,36.039975
大生小学校,869,140.00587,36.038836
中三坂集会所,57,139.964128,36.090771
