city_code,city_name,origin_count,origin_routable_count,origin_unmatched_count,safe_shelter_count,safe_shelter_routable_count,safe_shelter_unmatched_count,phase1_closed_edge_count,mapping_matched_count,mapping_excluded_unmapped_count,small_vehicle_count,small_arrived_count,small_not_arrived_count,small_stranded_main_count,tenpct_vehicle_count,tenpct_arrived_count,tenpct_not_arrived_count,tenpct_stranded_main_count,full_recommendation,full_vehicle_count_total,full_vehicle_count_run,full_arrived_count,full_not_arrived_count,full_stranded_main_count,notes
08201,水戸市,611,611,0,68,68,0,3639,3639,0,611,611,0,0,2647,2647,0,0,representative_or_defer,23518,,,,,full_deferred_by_plan
08202,日立市,107,107,0,84,84,0,715,713,2,107,107,0,0,488,488,0,0,representative_or_defer,4336,,,,,closure_edge_excluded=2;full_deferred_by_plan
08203,土浦市,121,121,0,29,29,0,807,807,0,121,121,0,0,611,611,0,0,representative_or_defer,5529,,,,,full_deferred_by_plan
08204,古河市,284,284,0,32,32,0,1068,1068,0,284,284,0,0,1052,1052,0,0,representative_or_defer,9273,,,,,full_deferred_by_plan
08205,石岡市,296,296,0,36,36,0,777,777,0,296,296,0,0,521,521,0,0,representative_or_defer,3682,,,,,full_deferred_by_plan
08207,結城市,157,157,0,12,12,0,529,529,0,157,157,0,0,612,612,0,0,representative_or_defer,5402,,,,,full_deferred_by_plan
08208,龍ケ崎市,207,194,13,32,32,0,1239,1239,0,194,194,0,0,1072,1072,0,0,representative_or_defer,9981,,,,,origin_unmatched_excluded=13;full_deferred_by_plan
08210,下妻市,150,150,0,35,35,0,565,565,0,150,150,0,0,438,438,0,0,representative_or_defer,3640,,,,,full_deferred_by_plan
08211,常総市,405,405,0,9,9,0,1900,1900,0,405,405,0,0,1151,1151,0,0,representative_or_defer,9569,,,,,full_deferred_by_plan
08212,常陸太田市,264,264,0,26,26,0,1272,1272,0,264,264,0,0,414,414,0,0,representative_or_defer,2799,,,,,full_deferred_by_plan
08214,高萩市,104,104,0,44,44,0,816,816,0,104,104,0,0,547,547,0,0,representative_or_defer,5011,,,,,full_deferred_by_plan
08215,北茨城市,152,152,0,28,28,0,1104,1104,0,152,152,0,0,632,632,0,0,representative_or_defer,5634,,,,,full_deferred_by_plan
08216,笠間市,384,384,0,7,7,0,1826,1826,0,384,384,0,0,906,906,0,0,representative_or_defer,7149,,,,,full_deferred_by_plan
08217,取手市,259,259,0,20,20,0,2328,2328,0,259,259,0,0,1302,1302,0,0,representative_or_defer,11754,,,,,full_deferred_by_plan
08219,牛久市,108,108,0,66,66,0,282,282,0,108,108,0,0,390,390,0,0,representative_or_defer,3313,,,,,full_deferred_by_plan
08220,つくば市,501,501,0,11,11,0,2347,2347,0,501,501,0,0,1530,1530,0,0,representative_or_defer,12798,,,,,full_deferred_by_plan
08221,ひたちなか市,153,153,0,56,56,0,634,634,0,153,153,0,0,724,724,0,0,representative_or_defer,6477,,,,,full_deferred_by_plan
08223,潮来市,38,38,0,9,9,0,251,251,0,38,38,0,0,199,199,0,0,representative_or_defer,1806,,,,,full_deferred_by_plan
08224,守谷市,18,18,0,16,16,0,82,82,0,18,18,0,0,40,40,0,0,run_full,333,333,333,0,0,
08225,常陸大宮市,90,90,0,156,156,0,598,598,0,90,90,0,0,149,149,0,0,representative_or_defer,1051,,,,,full_deferred_by_plan
08226,那珂市,24,24,0,36,36,0,6,6,0,24,24,0,0,61,61,0,0,run_full,498,498,498,0,0,
08227,筑西市,526,526,0,95,95,0,3235,3235,0,526,526,0,0,1704,1704,0,0,representative_or_defer,14471,,,,,full_deferred_by_plan
08228,坂東市,325,325,0,41,41,0,854,854,0,325,325,0,0,777,777,0,0,representative_or_defer,6242,,,,,full_deferred_by_plan
08229,稲敷市,297,297,0,35,35,0,1567,1567,0,297,297,0,0,618,618,0,0,representative_or_defer,4656,,,,,full_deferred_by_plan
08230,かすみがうら市,174,174,0,31,31,0,435,435,0,174,174,0,0,316,316,0,0,representative_or_defer,2267,,,,,full_deferred_by_plan
08231,桜川市,255,255,0,16,16,0,1093,1093,0,255,255,0,0,618,618,0,0,representative_or_defer,4905,,,,,full_deferred_by_plan
08233,行方市,3,3,0,15,15,0,4,4,0,3,3,0,0,7,7,0,0,run_full,61,61,61,0,0,
08234,鉾田市,146,146,0,47,47,0,320,320,0,146,146,0,0,276,276,0,0,representative_or_defer,2004,,,,,full_deferred_by_plan
08235,つくばみらい市,202,202,0,34,34,0,811,811,0,202,202,0,0,422,422,0,0,representative_or_defer,3293,,,,,full_deferred_by_plan
08236,小美玉市,157,157,0,29,29,0,204,204,0,157,157,0,0,294,294,0,0,representative_or_defer,2167,,,,,full_deferred_by_plan
08302,茨城町,227,227,0,15,15,0,584,584,0,227,227,0,0,442,442,0,0,representative_or_defer,3319,,,,,full_deferred_by_plan
08309,大洗町,2,2,0,8,8,0,0,0,0,2,2,0,0,5,5,0,0,run_full,40,40,40,0,0,
08310,城里町,186,186,0,29,29,0,1030,1030,0,186,186,0,0,280,280,0,0,representative_or_defer,1875,,,,,full_deferred_by_plan
08364,大子町,203,203,0,91,91,0,1004,1004,0,203,203,0,0,349,349,0,0,representative_or_defer,2450,,,,,full_deferred_by_plan
08442,美浦村,36,36,0,5,5,0,230,230,0,36,36,0,0,115,115,0,0,run_full,982,982,982,0,0,
08443,阿見町,69,69,0,19,19,0,297,297,0,69,69,0,0,249,249,0,0,representative_or_defer,2115,,,,,full_deferred_by_plan
08447,河内町,138,138,0,5,5,0,812,812,0,138,138,0,0,261,261,0,0,representative_or_defer,1893,,,,,full_deferred_by_plan
08521,八千代町,208,208,0,8,8,0,780,780,0,208,208,0,0,409,409,0,0,representative_or_defer,3113,,,,,full_deferred_by_plan
08542,五霞町,7,7,0,11,11,0,0,0,0,7,7,0,0,16,16,0,0,run_full,128,128,128,0,0,
08546,境町,86,86,0,26,23,3,636,636,0,86,86,0,0,236,236,0,0,representative_or_defer,1891,,,,,safe_shelter_unmatched_excluded=3;full_deferred_by_plan
08564,利根町,53,53,0,14,14,0,384,384,0,53,53,0,0,174,174,0,0,representative_or_defer,1457,,,,,full_deferred_by_plan
