scenario,route_id,route_name,samples,edge_count,max_closed_edge_count,max_vehicle_count,max_halting_vehicle_count,min_mean_speed_mps,max_mean_occupancy_pct
small,joso_ic,常総IC接続部（水海道有料道路）,360,38,0,0,0,,0.0
small,r294,国道294号,360,104,54,4,0,19.845905,0.000479
small,r354,国道・県道354号,360,374,41,0,0,,0.0
small,r357,県道357号（谷和原筑西線）,360,882,76,9,0,19.405162,0.001049
10pct,joso_ic,常総IC接続部（水海道有料道路）,360,38,0,0,0,,0.0
10pct,r294,国道294号,360,104,54,17,0,15.077378,0.001418
10pct,r354,国道・県道354号,360,374,41,0,0,,0.0
10pct,r357,県道357号（谷和原筑西線）,360,882,76,30,0,13.403693,0.02038
full,joso_ic,常総IC接続部（水海道有料道路）,360,38,0,0,0,,0.0
full,r294,国道294号,360,104,54,61,7,4.411451,0.00547
full,r354,国道・県道354号,360,374,41,0,0,,0.0
full,r357,県道357号（谷和原筑西線）,360,882,76,137,105,1.642703,0.050718
