city_code,city_name,analysis_type,scenario_name,unit,phase1_closed_edge_count,origin_count,origin_routable_count,vehicle_count,arrived_count,not_arrived_vehicle_count,stranded_main_vehicle_count,full_recommendation,note
08201,水戸市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,3639,611,611,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08201,水戸市,phase2_dynamic_sumo,small,vehicle,3639,611,611,611,611,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08201,水戸市,phase2_dynamic_sumo,10pct,vehicle,3639,611,611,2647,2647,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08201,水戸市,phase2_full_plan,full,vehicle_plan,3639,611,611,23518,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08202,日立市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,715,107,107,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08202,日立市,phase2_dynamic_sumo,small,vehicle,715,107,107,107,107,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08202,日立市,phase2_dynamic_sumo,10pct,vehicle,715,107,107,488,488,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08202,日立市,phase2_full_plan,full,vehicle_plan,715,107,107,4336,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08203,土浦市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,807,121,121,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08203,土浦市,phase2_dynamic_sumo,small,vehicle,807,121,121,121,121,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08203,土浦市,phase2_dynamic_sumo,10pct,vehicle,807,121,121,611,611,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08203,土浦市,phase2_full_plan,full,vehicle_plan,807,121,121,5529,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08204,古河市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,1068,284,284,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08204,古河市,phase2_dynamic_sumo,small,vehicle,1068,284,284,284,284,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08204,古河市,phase2_dynamic_sumo,10pct,vehicle,1068,284,284,1052,1052,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08204,古河市,phase2_full_plan,full,vehicle_plan,1068,284,284,9273,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08205,石岡市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,777,296,296,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08205,石岡市,phase2_dynamic_sumo,small,vehicle,777,296,296,296,296,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08205,石岡市,phase2_dynamic_sumo,10pct,vehicle,777,296,296,521,521,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08205,石岡市,phase2_full_plan,full,vehicle_plan,777,296,296,3682,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08207,結城市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,529,157,157,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08207,結城市,phase2_dynamic_sumo,small,vehicle,529,157,157,157,157,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08207,結城市,phase2_dynamic_sumo,10pct,vehicle,529,157,157,612,612,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08207,結城市,phase2_full_plan,full,vehicle_plan,529,157,157,5402,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08208,龍ケ崎市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,1239,207,194,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08208,龍ケ崎市,phase2_dynamic_sumo,small,vehicle,1239,207,194,194,194,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08208,龍ケ崎市,phase2_dynamic_sumo,10pct,vehicle,1239,207,194,1072,1072,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08208,龍ケ崎市,phase2_full_plan,full,vehicle_plan,1239,207,194,9981,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08210,下妻市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,565,150,150,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08210,下妻市,phase2_dynamic_sumo,small,vehicle,565,150,150,150,150,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08210,下妻市,phase2_dynamic_sumo,10pct,vehicle,565,150,150,438,438,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08210,下妻市,phase2_full_plan,full,vehicle_plan,565,150,150,3640,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08211,常総市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,1900,405,405,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
08211,常総市,phase2_dynamic_sumo,small,vehicle,1900,405,405,405,405,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08211,常総市,phase2_dynamic_sumo,10pct,vehicle,1900,405,405,1151,1151,0,0,representative_or_defer,Dynamic SUMO/TraCI result; teleport warnings are retained as SUMO runtime notes and summary metrics are counted after simulation.
08211,常総市,phase2_full_plan,full,vehicle_plan,1900,405,405,9569,,,,representative_or_defer,Full run deferred by plan: 10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08212,常陸太田市,phase1_static_city_scenario,city_scenario_t0_to_t7,closed_edges_and_origin_meshes,1272,264,264,,,,,representative_or_defer,Phase 1 city scenario input scale; not a dynamic vehicle simulation.
