vehicle_id,vehicle_kind,origin_id,KEY_CODE,from_sumo_edge_id,pickup_edge_id,shelter_id,shelter_name,to_sumo_edge_id,depart,passenger_equivalent
veh_full_origin_0001_0001,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0002,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0003,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0004,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0005,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0006,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0007,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0008,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0009,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0010,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0011,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0012,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0013,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0014,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0015,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0016,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0001_0017,private_car,origin_0001,5339777442,551#5,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0001,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0002,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0003,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0004,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0005,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0006,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0007,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0008,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0009,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0010,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0011,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0012,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0013,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0014,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0015,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0016,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0017,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0018,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0019,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0002_0020,private_car,origin_0002,5339778343,791#0,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0001,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0002,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0003,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0004,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0005,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0006,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0007,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0008,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0009,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
veh_full_origin_0003_0010,private_car,origin_0003,5339779313,792#4,,shelter_5,菅生小学校,928#4,0,2.3
