origin_id,type3_total,type3_arrived,type3_completion_rate,type4_total,type4_arrived,type4_completion_rate,type4_minus_type3_completion_rate
origin_0001,2,2,1.0,1,1,1.0,0.0
origin_0002,3,3,1.0,1,1,1.0,0.0
origin_0003,2,2,1.0,1,1,1.0,0.0
origin_0004,1,1,1.0,1,1,1.0,0.0
origin_0006,1,1,1.0,0,0,,
origin_0007,1,1,1.0,0,0,,
origin_0008,3,3,1.0,2,2,1.0,0.0
origin_0010,1,1,1.0,0,0,,
origin_0011,1,1,1.0,0,0,,
origin_0012,1,0,0.0,0,0,,
origin_0013,1,1,1.0,1,1,1.0,0.0
origin_0014,1,0,0.0,1,0,0.0,0.0
origin_0015,1,0,0.0,1,1,1.0,1.0
origin_0016,2,0,0.0,0,0,,
origin_0018,1,0,0.0,0,0,,
origin_0019,2,2,1.0,1,1,1.0,0.0
origin_0021,5,5,1.0,2,2,1.0,0.0
origin_0022,3,3,1.0,1,1,1.0,0.0
origin_0024,2,2,1.0,0,0,,
origin_0025,3,3,1.0,1,1,1.0,0.0
origin_0027,0,0,,1,1,1.0,
origin_0028,1,1,1.0,0,0,,
origin_0030,5,5,1.0,1,1,1.0,0.0
origin_0031,2,2,1.0,0,0,,
origin_0033,6,6,1.0,0,0,,
origin_0034,1,1,1.0,0,0,,
origin_0035,1,1,1.0,1,1,1.0,0.0
origin_0037,1,1,1.0,1,1,1.0,0.0
origin_0038,1,1,1.0,0,0,,
origin_0040,1,1,1.0,0,0,,
origin_0041,5,5,1.0,2,2,1.0,0.0
origin_0042,1,0,0.0,0,0,,
origin_0043,1,1,1.0,0,0,,
origin_0044,1,1,1.0,0,0,,
origin_0045,3,3,1.0,1,1,1.0,0.0
origin_0046,1,1,1.0,0,0,,
origin_0047,2,2,1.0,1,1,1.0,0.0
origin_0048,1,1,1.0,0,0,,
origin_0049,3,3,1.0,1,1,1.0,0.0
origin_0050,1,0,0.0,0,0,,
origin_0051,4,3,0.75,1,1,1.0,0.25
origin_0052,1,1,1.0,1,1,1.0,0.0
origin_0053,3,3,1.0,1,1,1.0,0.0
origin_0054,2,2,1.0,2,2,1.0,0.0
origin_0055,2,2,1.0,1,1,1.0,0.0
origin_0056,5,5,1.0,2,2,1.0,0.0
origin_0057,18,18,1.0,8,8,1.0,0.0
origin_0058,5,5,1.0,1,1,1.0,0.0
origin_0059,9,9,1.0,5,5,1.0,0.0
origin_0060,1,1,1.0,0,0,,
origin_0061,12,12,1.0,3,3,1.0,0.0
origin_0063,2,2,1.0,1,1,1.0,0.0
origin_0064,2,2,1.0,1,1,1.0,0.0
origin_0065,2,2,1.0,1,1,1.0,0.0
origin_0068,1,1,1.0,0,0,,
origin_0069,2,2,1.0,1,1,1.0,0.0
origin_0071,1,1,1.0,0,0,,
origin_0072,3,3,1.0,2,2,1.0,0.0
origin_0073,3,3,1.0,1,1,1.0,0.0
origin_0074,1,1,1.0,0,0,,
origin_0076,2,1,0.5,0,0,,
origin_0079,2,2,1.0,0,0,,
origin_0080,13,12,0.923077,5,5,1.0,0.076923
origin_0081,2,1,0.5,1,1,1.0,0.5
origin_0082,9,9,1.0,5,5,1.0,0.0
origin_0083,3,3,1.0,3,3,1.0,0.0
origin_0084,15,15,1.0,7,7,1.0,0.0
origin_0085,11,11,1.0,6,6,1.0,0.0
origin_0086,7,7,1.0,4,4,1.0,0.0
origin_0087,1,1,1.0,0,0,,
origin_0088,10,10,1.0,6,6,1.0,0.0
origin_0089,12,12,1.0,6,6,1.0,0.0
origin_0090,11,11,1.0,3,3,1.0,0.0
origin_0091,5,5,1.0,1,1,1.0,0.0
origin_0092,7,7,1.0,4,4,1.0,0.0
origin_0093,2,1,0.5,1,1,1.0,0.5
origin_0094,1,1,1.0,0,0,,
origin_0095,1,1,1.0,1,1,1.0,0.0
origin_0096,3,2,0.666667,2,1,0.5,-0.166667
origin_0097,1,1,1.0,0,0,,
origin_0098,5,2,0.4,0,0,,
origin_0099,2,1,0.5,0,0,,
origin_0100,3,3,1.0,1,1,1.0,0.0
origin_0101,3,3,1.0,2,2,1.0,0.0
origin_0102,4,4,1.0,2,1,0.5,-0.5
origin_0103,1,1,1.0,1,0,0.0,-1.0
origin_0104,3,2,0.666667,1,1,1.0,0.333333
origin_0105,1,1,1.0,1,1,1.0,0.0
origin_0106,2,2,1.0,4,4,1.0,0.0
origin_0107,9,9,1.0,5,5,1.0,0.0
