origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0001,5339777442,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0002,5339778343,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.25,0.0
origin_0003,5339779313,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0004,5339779333,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0006,5339779823,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0007,5339779824,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0008,5339779833,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.4,0.0
origin_0010,5339779844,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0011,5339779941,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0012,5439070313,1,0,0.0,0,0,,1,0,0.0,0.0,0.0,
origin_0013,5439070411,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0014,5439070424,1,0,0.0,1,0,0.0,2,0,0.0,0.5,0.4,0.0
origin_0015,5439070433,1,0,0.0,1,1,1.0,2,1,0.5,0.5,0.4,1.0
origin_0016,5439070434,2,0,0.0,0,0,,2,0,0.0,0.0,0.25,
origin_0018,5439070541,1,0,0.0,0,0,,1,0,0.0,0.0,0.0,
origin_0019,5439070714,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.375,0.0
origin_0021,5439070734,5,5,1.0,2,2,1.0,7,7,1.0,0.285714,0.333333,0.0
origin_0022,5439070811,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0024,5439070821,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0025,5439070822,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0027,5439070824,0,0,,1,1,1.0,1,1,1.0,1.0,1.0,
origin_0028,5439070831,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0030,5439070833,5,5,1.0,1,1,1.0,6,6,1.0,0.166667,0.25,0.0
origin_0031,5439070834,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
