origin_id,KEY_CODE,vehicle_kind,origin_edge,origin_edge_first_closure_sec,not_arrived_count,type3_count,type4_count,current_edge_closed_count,current_edge_min_first_closure_sec
origin_0146,5439075533,private_car,5657#0,6284,42,0,0,42,789
origin_0163,5439075932,private_car,5653#1,8116,15,0,0,0,
origin_0176,5439076911,private_car,11836#5,6284,14,0,0,0,
origin_0281,5439172834,private_car,153#4,9948,14,0,0,0,
origin_0346,5439174524,private_car,12484#1,21600,14,0,0,0,
origin_0115,5439073931,private_car,11545,,12,0,0,0,21600
origin_0141,5439074933,private_car,5493,9948,12,0,0,0,
origin_0014,5439070424,private_car,1038#5,,11,0,0,0,
origin_0015,5439070433,private_car,1602#3,,11,0,0,0,
origin_0016,5439070434,private_car,1093#0,,11,0,0,0,
origin_0153,5439075632,private_car,355#0,6284,8,0,0,8,789
origin_0158,5439075911,private_car,5595#0,,8,0,0,0,21600
origin_0350,5439174544,private_car,7309#1,21600,8,0,0,0,
origin_0038,5439071414,private_car,11291#5,21600,7,0,0,0,
origin_0147,5439075534,private_car,357#9,6284,7,0,0,7,789
origin_0164,5439075934,private_car,5749#5,9948,7,0,0,0,
origin_0040,5439071433,private_car,1253#0,,6,0,0,0,
origin_0044,5439071511,private_car,1192#16,21600,6,0,0,0,
origin_0085,5439072914,private_car,9337#1,,6,0,0,0,
origin_0177,5439076912,private_car,6547,,6,0,0,0,21600
origin_0013,5439070411,private_car,1018#8,21600,5,0,0,0,
origin_0118,5439073941,private_car,5338,,5,0,0,0,21600
origin_0139,5439074931,private_car,5458#2,9948,5,0,0,0,
origin_0162,5439075931,private_car,5695#1,,5,0,0,0,21600
origin_0174,5439076643,private_car,5946#9,,5,0,0,5,789
origin_0180,5439076942,private_car,5972#6,6284,5,0,0,0,
origin_0298,5439173244,private_car,7163,21600,5,0,0,0,
origin_0312,5439173612,private_car,7466#0,,5,0,0,0,
origin_0342,5439174513,private_car,8590#9,21600,5,0,0,0,
origin_0012,5439070313,private_car,1003#15,,4,0,0,0,
origin_0042,5439071442,private_car,1317#1,21600,4,0,0,0,
origin_0065,5439072413,private_car,1412#7,,4,0,0,0,
origin_0092,5439072943,private_car,9163#0,21600,4,0,0,0,
origin_0098,5439073534,private_car,5284#1,9948,4,0,0,0,
origin_0133,5439074912,private_car,6579,11780,4,0,0,0,
origin_0136,5439074921,rescue_car,5430#1,9948,4,2,2,0,
origin_0161,5439075921,private_car,10988#2,,4,0,0,0,
origin_0242,5439170734,private_car,6468#4,4452,4,0,0,0,
