vehicle_kind,shelter_id,shelter_name,vehicle_count,arrived_count,not_arrived_count,completion_rate,route_length_available_count,route_length_mean_m,route_length_median_m,route_length_p90_m,route_length_max_m
private_car,shelter_0,飯沼小学校,1513,1448,65,0.957039,1448,4012.125,3469.59,7081.293,9959.49
private_car,shelter_1,絹西小学校,65,65,0,1.0,65,3359.361,2048.44,6662.33,6832.85
private_car,shelter_2,石下小学校,1097,1062,35,0.968095,1062,2668.37,2745.3,3812.85,5664.75
private_car,shelter_3,水海道第一高等学校,2118,2074,44,0.979226,2074,3201.952,2813.85,5948.506,9260.72
private_car,shelter_4,水海道小学校,605,605,0,1.0,605,2046.315,1588.04,3878.314,10455.43
private_car,shelter_5,菅生小学校,234,157,77,0.67094,157,3031.186,2539.13,5217.37,5217.37
private_car,shelter_6,菅原小学校,709,639,70,0.901269,639,3979.073,2989.99,7489.882,10660.14
private_car,shelter_7,豊岡小学校,1655,1531,124,0.925076,1531,5371.001,4870.09,8960.48,12523.74
private_car,shelter_8,豊田小学校,168,168,0,1.0,168,1394.532,1724.04,1724.04,3015.52
rescue_car,shelter_0,飯沼小学校,257,241,16,0.937743,241,4497.8,4435.12,7302.29,8628.28
rescue_car,shelter_1,絹西小学校,11,11,0,1.0,11,3276.521,2048.44,6662.33,6662.33
rescue_car,shelter_2,石下小学校,194,194,0,1.0,194,2681.975,2717.23,4040.403,5555.69
rescue_car,shelter_3,水海道第一高等学校,365,358,7,0.980822,358,3114.073,2478.63,5919.2,8732.47
rescue_car,shelter_4,水海道小学校,105,103,2,0.980952,103,2224.901,1640.98,4152.922,10265.97
rescue_car,shelter_5,菅生小学校,40,32,8,0.8,32,3274.573,3610.36,4621.93,5217.37
rescue_car,shelter_6,菅原小学校,123,118,5,0.95935,118,4778.571,4483.59,9060.45,10525.13
rescue_car,shelter_7,豊岡小学校,281,255,26,0.907473,255,5682.37,5328.93,9402.78,11115.6
rescue_car,shelter_8,豊田小学校,29,29,0,1.0,29,1399.943,1724.04,1724.04,2689.07
