vehicle_id,origin_id,KEY_CODE,vehicle_kind,person_type,type_label,passenger_equivalent,arrived,duration,stranded_main,long_stopped
veh_full_origin_0001_0001,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,196.0,False,False
veh_full_origin_0001_0002,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,203.0,False,False
veh_full_origin_0001_0003,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,204.0,False,False
veh_full_origin_0001_0004,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,205.0,False,False
veh_full_origin_0001_0005,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,207.0,False,False
veh_full_origin_0001_0006,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,219.0,False,False
veh_full_origin_0001_0007,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,211.0,False,False
veh_full_origin_0001_0008,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,216.0,False,False
veh_full_origin_0001_0009,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,215.0,False,False
veh_full_origin_0001_0010,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,220.0,False,False
veh_full_origin_0001_0011,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,211.0,False,False
veh_full_origin_0001_0012,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,210.0,False,False
veh_full_origin_0001_0013,origin_0001,5339777442,private_car,type1,car_non_elderly,2.3,True,213.0,False,False
veh_full_origin_0001_0014,origin_0001,5339777442,private_car,type2,car_elderly,2.3,True,212.0,False,False
veh_full_origin_0001_0015,origin_0001,5339777442,private_car,type2,car_elderly,2.3,True,211.0,False,False
veh_full_origin_0001_0016,origin_0001,5339777442,private_car,type2,car_elderly,2.3,True,217.0,False,False
veh_full_origin_0001_0017,origin_0001,5339777442,private_car,type2,car_elderly,2.3,True,221.0,False,False
veh_full_origin_0002_0001,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,152.0,False,False
veh_full_origin_0002_0002,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,154.0,False,False
veh_full_origin_0002_0003,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,148.0,False,False
veh_full_origin_0002_0004,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,151.0,False,False
veh_full_origin_0002_0005,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,151.0,False,False
veh_full_origin_0002_0006,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,151.0,False,False
veh_full_origin_0002_0007,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,156.0,False,False
veh_full_origin_0002_0008,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,165.0,False,False
veh_full_origin_0002_0009,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,165.0,False,False
veh_full_origin_0002_0010,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,172.0,False,False
veh_full_origin_0002_0011,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,161.0,False,False
veh_full_origin_0002_0012,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,167.0,False,False
veh_full_origin_0002_0013,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,158.0,False,False
veh_full_origin_0002_0014,origin_0002,5339778343,private_car,type1,car_non_elderly,2.3,True,163.0,False,False
veh_full_origin_0002_0015,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,166.0,False,False
veh_full_origin_0002_0016,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,167.0,False,False
veh_full_origin_0002_0017,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,168.0,False,False
veh_full_origin_0002_0018,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,171.0,False,False
veh_full_origin_0002_0019,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,169.0,False,False
veh_full_origin_0002_0020,origin_0002,5339778343,private_car,type2,car_elderly,2.3,True,169.0,False,False
veh_full_origin_0003_0001,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,115.0,False,False
veh_full_origin_0003_0002,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,119.0,False,False
veh_full_origin_0003_0003,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,130.0,False,False
veh_full_origin_0003_0004,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,129.0,False,False
veh_full_origin_0003_0005,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,129.0,False,False
veh_full_origin_0003_0006,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,127.0,False,False
veh_full_origin_0003_0007,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,127.0,False,False
veh_full_origin_0003_0008,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,126.0,False,False
veh_full_origin_0003_0009,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,144.0,False,False
veh_full_origin_0003_0010,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,149.0,False,False
veh_full_origin_0003_0011,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,149.0,False,False
veh_full_origin_0003_0012,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,197.0,False,False
veh_full_origin_0003_0013,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,220.0,False,False
veh_full_origin_0003_0014,origin_0003,5339779313,private_car,type1,car_non_elderly,2.3,True,220.0,False,False
veh_full_origin_0003_0015,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,221.0,False,False
veh_full_origin_0003_0016,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,225.0,False,False
veh_full_origin_0003_0017,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,225.0,False,False
veh_full_origin_0003_0018,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,224.0,False,False
veh_full_origin_0003_0019,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,224.0,False,False
veh_full_origin_0003_0020,origin_0003,5339779313,private_car,type2,car_elderly,2.3,True,223.0,False,False
veh_full_origin_0004_0001,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,283.0,False,False
veh_full_origin_0004_0002,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,283.0,False,False
veh_full_origin_0004_0003,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,283.0,False,False
veh_full_origin_0004_0004,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,281.0,False,False
veh_full_origin_0004_0005,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,280.0,False,False
veh_full_origin_0004_0006,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,280.0,False,False
veh_full_origin_0004_0007,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,279.0,False,False
veh_full_origin_0004_0008,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,280.0,False,False
veh_full_origin_0004_0009,origin_0004,5339779333,private_car,type1,car_non_elderly,2.3,True,279.0,False,False
veh_full_origin_0004_0010,origin_0004,5339779333,private_car,type2,car_elderly,2.3,True,279.0,False,False
veh_full_origin_0004_0011,origin_0004,5339779333,private_car,type2,car_elderly,2.3,True,278.0,False,False
veh_full_origin_0004_0012,origin_0004,5339779333,private_car,type2,car_elderly,2.3,True,277.0,False,False
veh_full_origin_0004_0013,origin_0004,5339779333,private_car,type2,car_elderly,2.3,True,278.0,False,False
veh_full_origin_0005_0001,origin_0005,5339779344,private_car,type1,car_non_elderly,2.3,True,334.0,False,False
veh_full_origin_0005_0002,origin_0005,5339779344,private_car,type1,car_non_elderly,2.3,False,,True,True
veh_full_origin_0006_0001,origin_0006,5339779823,private_car,type1,car_non_elderly,2.3,True,1468.0,False,False
veh_full_origin_0006_0002,origin_0006,5339779823,private_car,type1,car_non_elderly,2.3,True,1636.0,False,False
veh_full_origin_0006_0003,origin_0006,5339779823,private_car,type1,car_non_elderly,2.3,True,1894.0,False,False
veh_full_origin_0006_0004,origin_0006,5339779823,private_car,type1,car_non_elderly,2.3,True,2152.0,False,False
veh_full_origin_0006_0005,origin_0006,5339779823,private_car,type2,car_elderly,2.3,True,2442.0,False,False
veh_full_origin_0006_0006,origin_0006,5339779823,private_car,type2,car_elderly,2.3,True,3602.0,False,True
veh_full_origin_0007_0001,origin_0007,5339779824,private_car,type1,car_non_elderly,2.3,True,2732.0,False,False
veh_full_origin_0007_0002,origin_0007,5339779824,private_car,type1,car_non_elderly,2.3,True,2835.0,False,False
veh_full_origin_0007_0003,origin_0007,5339779824,private_car,type1,car_non_elderly,2.3,True,907.0,False,False
veh_full_origin_0008_0001,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,845.0,False,False
veh_full_origin_0008_0002,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,2795.0,False,False
veh_full_origin_0008_0003,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,2703.0,False,False
veh_full_origin_0008_0004,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,879.0,False,False
veh_full_origin_0008_0005,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,902.0,False,False
veh_full_origin_0008_0006,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,922.0,False,False
veh_full_origin_0008_0007,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,927.0,False,False
veh_full_origin_0008_0008,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,1058.0,False,True
veh_full_origin_0008_0009,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,1073.0,False,True
veh_full_origin_0008_0010,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,1060.0,False,True
veh_full_origin_0008_0011,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,1004.0,False,True
veh_full_origin_0008_0012,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,896.0,False,False
veh_full_origin_0008_0013,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,888.0,False,False
veh_full_origin_0008_0014,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,896.0,False,False
veh_full_origin_0008_0015,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,898.0,False,False
veh_full_origin_0008_0016,origin_0008,5339779833,private_car,type1,car_non_elderly,2.3,True,931.0,False,False
veh_full_origin_0008_0017,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,1034.0,False,False
veh_full_origin_0008_0018,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,1033.0,False,False
veh_full_origin_0008_0019,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,1038.0,False,False
veh_full_origin_0008_0020,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,1038.0,False,True
veh_full_origin_0008_0021,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,1043.0,False,True
veh_full_origin_0008_0022,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,780.0,False,False
veh_full_origin_0008_0023,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,782.0,False,False
veh_full_origin_0008_0024,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,944.0,False,False
veh_full_origin_0008_0025,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,978.0,False,False
veh_full_origin_0008_0026,origin_0008,5339779833,private_car,type2,car_elderly,2.3,True,983.0,False,False
veh_full_origin_0009_0001,origin_0009,5339779834,private_car,type1,car_non_elderly,2.3,True,926.0,False,False
veh_full_origin_0009_0002,origin_0009,5339779834,private_car,type1,car_non_elderly,2.3,True,947.0,False,False
