vehicle_id,origin_id,KEY_CODE,destination_edge,lane_id,current_edge,speed_mps,pos_m,lane_length_m,distance_to_lane_end_m,near_lane_end,current_edge_closed,successor_count,open_successor_count,has_open_path_to_destination,layer
rescue_origin_0051_0005,origin_0051,5439071741,6656#8,5248#1_0,5248#1,0.0,4.3,24.16,19.86,False,False,1,1,True,queue_behind_blockage
rescue_origin_0085_0013,origin_0085,5439072914,11531#5,9338#4_1,9338#4,0.09,0.19,0.2,0.01,True,False,3,3,True,queue_behind_blockage
rescue_origin_0085_0015,origin_0085,5439072914,11531#5,9338#4_0,9338#4,0.0,0.1,0.2,0.1,True,False,3,3,True,queue_behind_blockage
rescue_origin_0108_0001,origin_0108,5439073912,11531#5,5248#5_0,5248#5,0.0,14.79,34.26,19.47,False,False,1,1,True,queue_behind_blockage
rescue_origin_0108_0002,origin_0108,5439073912,11531#5,5248#4_0,5248#4,0.0,11.82,19.23,7.41,True,False,1,1,True,queue_behind_blockage
rescue_origin_0108_0003,origin_0108,5439073912,11531#5,5248#3_0,5248#3,0.0,10.9,13.98,3.08,True,False,1,1,True,queue_behind_blockage
rescue_origin_0108_0004,origin_0108,5439073912,11531#5,5248#2_0,5248#2,0.0,9.92,13.81,3.89,True,False,1,1,True,queue_behind_blockage
rescue_origin_0110_0002,origin_0110,5439073914,11531#5,:1429490904_4_0,:1429490904_4,0.0,6.98,14.38,7.4,True,False,1,1,True,intersection_blockage
rescue_origin_0110_0007,origin_0110,5439073914,11531#5,5235#3_0,5235#3,0.0,0.63,13.97,13.34,False,False,1,1,True,queue_behind_blockage
rescue_origin_0112_0001,origin_0112,5439073922,11531#5,5248#5_0,5248#5,0.0,29.79,34.26,4.47,True,False,1,1,True,queue_behind_blockage
rescue_origin_0112_0002,origin_0112,5439073922,11531#5,5248#5_0,5248#5,0.0,22.29,34.26,11.97,False,False,1,1,True,queue_behind_blockage
rescue_origin_0112_0003,origin_0112,5439073922,11531#5,:9000000016565_1_0,:9000000016565_1,0.0,0.09,0.31,0.22,True,False,1,1,True,intersection_blockage
