city_code,city_name,phase1_status,include_in_phase2_region,phase2_precheck_ready,a31a_sources,exclusion_reason,in_unified_manifest,scenario_html,scenario_data_js,scenario_app_js,scenario_style_css,network_graphml,network_edges_gpkg,network_summary_json,network_summary_nodes,network_summary_edges,phase1_scenario_dir,phase2_region_dir,expected_phase2_subdirs
08201,水戸市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08201,output/sumo/regions/08201,output/sumo/regions/08201/network;output/sumo/regions/08201/derived;output/sumo/regions/08201/scenarios;output/sumo/regions/08201/results;output/sumo/regions/08201/viz
08202,日立市,phase1_target,yes,yes,08_10,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08202,output/sumo/regions/08202,output/sumo/regions/08202/network;output/sumo/regions/08202/derived;output/sumo/regions/08202/scenarios;output/sumo/regions/08202/results;output/sumo/regions/08202/viz
08203,土浦市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08203,output/sumo/regions/08203,output/sumo/regions/08203/network;output/sumo/regions/08203/derived;output/sumo/regions/08203/scenarios;output/sumo/regions/08203/results;output/sumo/regions/08203/viz
08204,古河市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08204,output/sumo/regions/08204,output/sumo/regions/08204/network;output/sumo/regions/08204/derived;output/sumo/regions/08204/scenarios;output/sumo/regions/08204/results;output/sumo/regions/08204/viz
08205,石岡市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08205,output/sumo/regions/08205,output/sumo/regions/08205/network;output/sumo/regions/08205/derived;output/sumo/regions/08205/scenarios;output/sumo/regions/08205/results;output/sumo/regions/08205/viz
08207,結城市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08207,output/sumo/regions/08207,output/sumo/regions/08207/network;output/sumo/regions/08207/derived;output/sumo/regions/08207/scenarios;output/sumo/regions/08207/results;output/sumo/regions/08207/viz
08208,龍ケ崎市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08208,output/sumo/regions/08208,output/sumo/regions/08208/network;output/sumo/regions/08208/derived;output/sumo/regions/08208/scenarios;output/sumo/regions/08208/results;output/sumo/regions/08208/viz
08210,下妻市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08210,output/sumo/regions/08210,output/sumo/regions/08210/network;output/sumo/regions/08210/derived;output/sumo/regions/08210/scenarios;output/sumo/regions/08210/results;output/sumo/regions/08210/viz
08211,常総市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08211,output/sumo/regions/08211,output/sumo/regions/08211/network;output/sumo/regions/08211/derived;output/sumo/regions/08211/scenarios;output/sumo/regions/08211/results;output/sumo/regions/08211/viz
08212,常陸太田市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08212,output/sumo/regions/08212,output/sumo/regions/08212/network;output/sumo/regions/08212/derived;output/sumo/regions/08212/scenarios;output/sumo/regions/08212/results;output/sumo/regions/08212/viz
