city_code,city_name,target_scope,phase1_status,a31a_sources,phase1_scenario_dir,phase2_region_dir,include_in_phase2_region,phase2_precheck_ready,note
08201,水戸市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08201,output/sumo/regions/08201,yes,yes,Phase 2 全域拡張対象
08202,日立市,phase1_target_region,phase1_target,08_10,output/scenario_cities/08202,output/sumo/regions/08202,yes,yes,Phase 2 全域拡張対象
08203,土浦市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08203,output/sumo/regions/08203,yes,yes,Phase 2 全域拡張対象
08204,古河市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08204,output/sumo/regions/08204,yes,yes,Phase 2 全域拡張対象
08205,石岡市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08205,output/sumo/regions/08205,yes,yes,Phase 2 全域拡張対象
08207,結城市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08207,output/sumo/regions/08207,yes,yes,Phase 2 全域拡張対象
08208,龍ケ崎市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08208,output/sumo/regions/08208,yes,yes,Phase 2 全域拡張対象
08210,下妻市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08210,output/sumo/regions/08210,yes,yes,Phase 2 全域拡張対象
08211,常総市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08211,output/sumo/regions/08211,yes,yes,Phase 2 全域拡張対象
08212,常陸太田市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08212,output/sumo/regions/08212,yes,yes,Phase 2 全域拡張対象
08214,高萩市,phase1_target_region,phase1_target,08_10,output/scenario_cities/08214,output/sumo/regions/08214,yes,yes,Phase 2 全域拡張対象
08215,北茨城市,phase1_target_region,phase1_target,08_10,output/scenario_cities/08215,output/sumo/regions/08215,yes,yes,Phase 2 全域拡張対象
08216,笠間市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08216,output/sumo/regions/08216,yes,yes,Phase 2 全域拡張対象
08217,取手市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08217,output/sumo/regions/08217,yes,yes,Phase 2 全域拡張対象
08219,牛久市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08219,output/sumo/regions/08219,yes,yes,Phase 2 全域拡張対象
08220,つくば市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08220,output/sumo/regions/08220,yes,yes,Phase 2 全域拡張対象
08221,ひたちなか市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08221,output/sumo/regions/08221,yes,yes,Phase 2 全域拡張対象
08223,潮来市,phase1_target_region,phase1_target,08_10,output/scenario_cities/08223,output/sumo/regions/08223,yes,yes,Phase 2 全域拡張対象
08224,守谷市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08224,output/sumo/regions/08224,yes,yes,Phase 2 全域拡張対象
08225,常陸大宮市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08225,output/sumo/regions/08225,yes,yes,Phase 2 全域拡張対象
08226,那珂市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08226,output/sumo/regions/08226,yes,yes,Phase 2 全域拡張対象
08227,筑西市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08227,output/sumo/regions/08227,yes,yes,Phase 2 全域拡張対象
08228,坂東市,phase1_target_region,phase1_target,08_20,output/scenario_cities/08228,output/sumo/regions/08228,yes,yes,Phase 2 全域拡張対象
08229,稲敷市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08229,output/sumo/regions/08229,yes,yes,Phase 2 全域拡張対象
08230,かすみがうら市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08230,output/sumo/regions/08230,yes,yes,Phase 2 全域拡張対象
08231,桜川市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08231,output/sumo/regions/08231,yes,yes,Phase 2 全域拡張対象
08233,行方市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08233,output/sumo/regions/08233,yes,yes,Phase 2 全域拡張対象
08234,鉾田市,phase1_target_region,phase1_target,08_10+08_20,output/scenario_cities/08234,output/sumo/regions/08234,yes,yes,Phase 2 全域拡張対象
