city_code,city_name,network_ready,mapping_ready,mapping_count,mapping_unmatched_count,mapping_excluded_unmapped_count,derived_ready,origin_count,safe_shelter_count,vehicle_count_small_total,vehicle_count_10pct_total,vehicle_count_full_total,origin_unmatched_count,safe_shelter_unmatched_count,small_ready,small_vehicle_count,small_arrived_count,small_stranded_main_count,tenpct_ready,tenpct_vehicle_count,tenpct_arrived_count,tenpct_stranded_main_count,next_action
08201,水戸市,yes,yes,3639,0,0,yes,611,68,611,2647,23518,0,0,yes,611,611,0,yes,2647,2647,0,full_plan_or_eval
08202,日立市,yes,yes,715,0,2,yes,107,84,107,488,4336,0,0,yes,107,107,0,yes,488,488,0,full_plan_or_eval
08203,土浦市,yes,yes,807,0,0,yes,121,29,121,611,5529,0,0,yes,121,121,0,yes,611,611,0,full_plan_or_eval
08204,古河市,yes,yes,1068,0,0,yes,284,32,284,1052,9273,0,0,yes,284,284,0,yes,1052,1052,0,full_plan_or_eval
08205,石岡市,yes,yes,777,0,0,yes,296,36,296,521,3682,0,0,yes,296,296,0,yes,521,521,0,full_plan_or_eval
08207,結城市,yes,yes,529,0,0,yes,157,12,157,612,5402,0,0,yes,157,157,0,yes,612,612,0,full_plan_or_eval
08208,龍ケ崎市,yes,yes,1239,0,0,yes,207,32,207,1102,9981,13,0,yes,194,194,0,yes,1072,1072,0,full_plan_or_eval
08210,下妻市,yes,yes,565,0,0,yes,150,35,150,438,3640,0,0,yes,150,150,0,yes,438,438,0,full_plan_or_eval
08211,常総市,yes,yes,1900,0,0,yes,405,9,405,1151,9569,0,0,yes,405,405,0,yes,1151,1151,0,full_plan_or_eval
08212,常陸太田市,yes,yes,1272,0,0,yes,264,26,264,414,2799,0,0,yes,264,264,0,yes,414,414,0,full_plan_or_eval
08214,高萩市,yes,yes,816,0,0,yes,104,44,104,547,5011,0,0,yes,104,104,0,yes,547,547,0,full_plan_or_eval
08215,北茨城市,yes,yes,1104,0,0,yes,152,28,152,632,5634,0,0,yes,152,152,0,yes,632,632,0,full_plan_or_eval
08216,笠間市,yes,yes,1826,0,0,yes,384,7,384,906,7149,0,0,yes,384,384,0,yes,906,906,0,full_plan_or_eval
08217,取手市,yes,yes,2328,0,0,yes,259,20,259,1302,11754,0,0,yes,259,259,0,yes,1302,1302,0,full_plan_or_eval
08219,牛久市,yes,yes,282,0,0,yes,108,66,108,390,3313,0,0,yes,108,108,0,yes,390,390,0,full_plan_or_eval
08220,つくば市,yes,yes,2347,0,0,yes,501,11,501,1530,12798,0,0,yes,501,501,0,yes,1530,1530,0,full_plan_or_eval
08221,ひたちなか市,yes,yes,634,0,0,yes,153,56,153,724,6477,0,0,yes,153,153,0,yes,724,724,0,full_plan_or_eval
08223,潮来市,yes,yes,251,0,0,yes,38,9,38,199,1806,0,0,yes,38,38,0,yes,199,199,0,full_plan_or_eval
08224,守谷市,yes,yes,82,0,0,yes,18,16,18,40,333,0,0,yes,18,18,0,yes,40,40,0,full_plan_or_eval
08225,常陸大宮市,yes,yes,598,0,0,yes,90,156,90,149,1051,0,0,yes,90,90,0,yes,149,149,0,full_plan_or_eval
08226,那珂市,yes,yes,6,0,0,yes,24,36,24,61,498,0,0,yes,24,24,0,yes,61,61,0,full_plan_or_eval
08227,筑西市,yes,yes,3235,0,0,yes,526,95,526,1704,14471,0,0,yes,526,526,0,yes,1704,1704,0,full_plan_or_eval
08228,坂東市,yes,yes,854,0,0,yes,325,41,325,777,6242,0,0,yes,325,325,0,yes,777,777,0,full_plan_or_eval
08229,稲敷市,yes,yes,1567,0,0,yes,297,35,297,618,4656,0,0,yes,297,297,0,yes,618,618,0,full_plan_or_eval
08230,かすみがうら市,yes,yes,435,0,0,yes,174,31,174,316,2267,0,0,yes,174,174,0,yes,316,316,0,full_plan_or_eval
08231,桜川市,yes,yes,1093,0,0,yes,255,16,255,618,4905,0,0,yes,255,255,0,yes,618,618,0,full_plan_or_eval
08233,行方市,yes,yes,4,0,0,yes,3,15,3,7,61,0,0,yes,3,3,0,yes,7,7,0,full_plan_or_eval
08234,鉾田市,yes,yes,320,0,0,yes,146,47,146,276,2004,0,0,yes,146,146,0,yes,276,276,0,full_plan_or_eval
08235,つくばみらい市,yes,yes,811,0,0,yes,202,34,202,422,3293,0,0,yes,202,202,0,yes,422,422,0,full_plan_or_eval
08236,小美玉市,yes,yes,204,0,0,yes,157,29,157,294,2167,0,0,yes,157,157,0,yes,294,294,0,full_plan_or_eval
08302,茨城町,yes,yes,584,0,0,yes,227,15,227,442,3319,0,0,yes,227,227,0,yes,442,442,0,full_plan_or_eval
08309,大洗町,yes,yes,0,0,0,yes,2,8,2,5,40,0,0,yes,2,2,0,yes,5,5,0,full_plan_or_eval
08310,城里町,yes,yes,1030,0,0,yes,186,29,186,280,1875,0,0,yes,186,186,0,yes,280,280,0,full_plan_or_eval
08364,大子町,yes,yes,1004,0,0,yes,203,91,203,349,2450,0,0,yes,203,203,0,yes,349,349,0,full_plan_or_eval
