city_code,city_name,time_mapping_rows,shelter_count,safe_shelter_count,origin_count,vehicle_count_small_total,vehicle_count_10pct_total,vehicle_count_full_total,phase3_private_vehicle_count_total,phase3_rescue_vehicle_count_total,phase3_non_car_households_total,closure_time_steps,closure_unmapped_time_steps,closure_excluded_unmapped_time_steps,closure_excluded_unmapped_edge_count,origin_unmatched_count,origin_routable_count,safe_shelter_unmatched_count,safe_shelter_routable_count,can_proceed_to_small,derived_validation_json,updated_at
08202,日立市,8,84,84,107,107,488,4336,,,,8,0,5,2,0,,0,,True,output/sumo/regions/08202/derived/derived_data_validation.json,2026-05-17T14:07:58
08201,水戸市,8,69,68,611,611,2647,23518,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08201/derived/derived_data_validation.json,2026-05-18T12:25:03
08203,土浦市,8,29,29,121,121,611,5529,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08203/derived/derived_data_validation.json,2026-05-18T12:26:25
08204,古河市,8,32,32,284,284,1052,9273,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08204/derived/derived_data_validation.json,2026-05-18T12:29:11
08205,石岡市,8,36,36,296,296,521,3682,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08205/derived/derived_data_validation.json,2026-05-18T12:32:19
08207,結城市,8,12,12,157,157,612,5402,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08207/derived/derived_data_validation.json,2026-05-18T12:33:09
08210,下妻市,8,35,35,150,150,438,3640,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08210/derived/derived_data_validation.json,2026-05-18T12:35:27
08212,常陸太田市,8,27,26,264,264,414,2799,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08212/derived/derived_data_validation.json,2026-05-18T12:38:14
08214,高萩市,8,44,44,104,104,547,5011,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08214/derived/derived_data_validation.json,2026-05-18T12:38:49
08215,北茨城市,8,28,28,152,152,632,5634,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08215/derived/derived_data_validation.json,2026-05-18T12:39:34
08216,笠間市,8,7,7,384,384,906,7149,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08216/derived/derived_data_validation.json,2026-05-18T12:42:24
08217,取手市,8,20,20,259,259,1302,11754,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08217/derived/derived_data_validation.json,2026-05-18T12:43:28
08219,牛久市,8,66,66,108,108,390,3313,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08219/derived/derived_data_validation.json,2026-05-18T12:44:02
08220,つくば市,8,11,11,501,501,1530,12798,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08220/derived/derived_data_validation.json,2026-05-18T14:15:20
08221,ひたちなか市,8,56,56,153,153,724,6477,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08221/derived/derived_data_validation.json,2026-05-18T14:16:20
08223,潮来市,8,9,9,38,38,199,1806,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08223/derived/derived_data_validation.json,2026-05-18T14:16:31
08224,守谷市,8,16,16,18,18,40,333,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08224/derived/derived_data_validation.json,2026-05-18T14:16:41
08225,常陸大宮市,8,156,156,90,90,149,1051,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08225/derived/derived_data_validation.json,2026-05-18T14:18:10
08226,那珂市,8,36,36,24,24,61,498,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08226/derived/derived_data_validation.json,2026-05-18T14:18:36
08227,筑西市,8,95,95,526,526,1704,14471,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08227/derived/derived_data_validation.json,2026-05-18T14:21:35
08228,坂東市,8,41,41,325,325,777,6242,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08228/derived/derived_data_validation.json,2026-05-18T14:23:45
08229,稲敷市,8,36,35,297,297,618,4656,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08229/derived/derived_data_validation.json,2026-05-18T14:25:07
08230,かすみがうら市,8,31,31,174,174,316,2267,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08230/derived/derived_data_validation.json,2026-05-18T14:25:57
08231,桜川市,8,16,16,255,255,618,4905,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08231/derived/derived_data_validation.json,2026-05-18T14:27:07
08233,行方市,8,15,15,3,3,7,61,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08233/derived/derived_data_validation.json,2026-05-18T14:27:23
08234,鉾田市,8,47,47,146,146,276,2004,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08234/derived/derived_data_validation.json,2026-05-18T14:28:38
08235,つくばみらい市,8,34,34,202,202,422,3293,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08235/derived/derived_data_validation.json,2026-05-18T14:29:14
08236,小美玉市,8,29,29,157,157,294,2167,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08236/derived/derived_data_validation.json,2026-05-18T14:30:10
08302,茨城町,8,15,15,227,227,442,3319,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08302/derived/derived_data_validation.json,2026-05-18T14:30:59
08309,大洗町,8,8,8,2,2,5,40,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08309/derived/derived_data_validation.json,2026-05-18T14:31:05
08310,城里町,8,29,29,186,186,280,1875,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08310/derived/derived_data_validation.json,2026-05-18T14:31:44
08364,大子町,8,93,91,203,203,349,2450,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08364/derived/derived_data_validation.json,2026-05-18T14:32:53
08442,美浦村,8,5,5,36,36,115,982,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08442/derived/derived_data_validation.json,2026-05-18T14:33:01
08443,阿見町,8,19,19,69,69,249,2115,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08443/derived/derived_data_validation.json,2026-05-18T14:33:19
08447,河内町,8,5,5,138,138,261,1893,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08447/derived/derived_data_validation.json,2026-05-18T14:33:30
08521,八千代町,8,8,8,208,208,409,3113,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08521/derived/derived_data_validation.json,2026-05-18T14:33:59
08542,五霞町,8,11,11,7,7,16,128,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08542/derived/derived_data_validation.json,2026-05-18T14:34:06
08564,利根町,8,14,14,53,53,174,1457,,,,8,0,0,0,0,,0,,True,output/sumo/regions/08564/derived/derived_data_validation.json,2026-05-18T14:34:30
08208,龍ケ崎市,8,32,32,207,207,1102,9981,,,,8,0,0,0,13,194,0,32,True,output/sumo/regions/08208/derived/derived_data_validation.json,2026-05-18T14:38:51
08546,境町,8,26,26,86,86,236,1891,,,,8,0,0,0,0,86,3,23,True,output/sumo/regions/08546/derived/derived_data_validation.json,2026-05-18T14:39:07
08211,常総市,8,9,9,405,405,1151,9569,8164,1405,1404.717,8,0,0,0,0,405,0,9,True,output/sumo/regions/08211/derived/derived_data_validation.json,2026-07-04T08:56:59
