city_code,city_name,sumo_edge_count,phase1_closed_edge_count,mapping_count,matched_count,unmatched_count,excluded_unmapped_count,total_mapped_sumo_edge_segments,can_proceed_to_region_closure,edge_id_mapping_csv,updated_at
08211,常総市,49356,1900,1900,1900,0,,8968,True,output/sumo/regions/08211/derived/edge_id_mapping.csv,2026-05-15T13:50:03
08201,水戸市,103816,3639,3639,3639,0,,16389,True,output/sumo/regions/08201/derived/edge_id_mapping.csv,2026-05-17T13:10:44
08203,土浦市,65075,807,807,807,0,,3241,True,output/sumo/regions/08203/derived/edge_id_mapping.csv,2026-05-17T13:19:10
08204,古河市,67940,1068,1068,1068,0,,5916,True,output/sumo/regions/08204/derived/edge_id_mapping.csv,2026-05-17T13:38:24
08205,石岡市,76613,777,777,777,0,,7661,True,output/sumo/regions/08205/derived/edge_id_mapping.csv,2026-05-17T13:38:51
08202,日立市,93721,715,715,713,0,2,2927,True,output/sumo/regions/08202/derived/edge_id_mapping.csv,2026-05-17T14:00:17
08207,結城市,26077,529,529,529,0,0,2375,True,output/sumo/regions/08207/derived/edge_id_mapping.csv,2026-05-18T12:07:39
08208,龍ケ崎市,29108,1239,1239,1239,0,0,4613,True,output/sumo/regions/08208/derived/edge_id_mapping.csv,2026-05-18T12:07:48
08210,下妻市,42444,565,565,565,0,0,3421,True,output/sumo/regions/08210/derived/edge_id_mapping.csv,2026-05-18T12:07:50
08212,常陸太田市,90641,1272,1272,1272,0,0,12232,True,output/sumo/regions/08212/derived/edge_id_mapping.csv,2026-05-18T12:07:56
08214,高萩市,37707,816,816,816,0,0,3440,True,output/sumo/regions/08214/derived/edge_id_mapping.csv,2026-05-18T12:08:00
08215,北茨城市,42058,1104,1104,1104,0,0,4352,True,output/sumo/regions/08215/derived/edge_id_mapping.csv,2026-05-18T12:08:04
08216,笠間市,67331,1826,1826,1826,0,0,13580,True,output/sumo/regions/08216/derived/edge_id_mapping.csv,2026-05-18T12:08:12
08217,取手市,38225,2328,2328,2328,0,0,6336,True,output/sumo/regions/08217/derived/edge_id_mapping.csv,2026-05-18T12:08:16
08219,牛久市,30117,282,282,282,0,0,2830,True,output/sumo/regions/08219/derived/edge_id_mapping.csv,2026-05-18T12:08:18
08220,つくば市,159036,2347,2347,2347,0,0,14337,True,output/sumo/regions/08220/derived/edge_id_mapping.csv,2026-05-18T12:08:42
08221,ひたちなか市,49616,634,634,634,0,0,2696,True,output/sumo/regions/08221/derived/edge_id_mapping.csv,2026-05-18T12:08:46
08223,潮来市,21691,251,251,251,0,0,801,True,output/sumo/regions/08223/derived/edge_id_mapping.csv,2026-05-18T12:08:47
08224,守谷市,21825,82,82,82,0,0,848,True,output/sumo/regions/08224/derived/edge_id_mapping.csv,2026-05-18T12:08:49
08225,常陸大宮市,87096,598,598,598,0,0,5168,True,output/sumo/regions/08225/derived/edge_id_mapping.csv,2026-05-18T12:08:56
08226,那珂市,40575,6,6,6,0,0,32,True,output/sumo/regions/08226/derived/edge_id_mapping.csv,2026-05-18T12:09:01
08227,筑西市,73271,3235,3235,3235,0,0,12581,True,output/sumo/regions/08227/derived/edge_id_mapping.csv,2026-05-18T12:09:13
08228,坂東市,50279,854,854,854,0,0,6166,True,output/sumo/regions/08228/derived/edge_id_mapping.csv,2026-05-18T12:09:23
08229,稲敷市,42437,1567,1567,1567,0,0,7677,True,output/sumo/regions/08229/derived/edge_id_mapping.csv,2026-05-18T12:09:27
08230,かすみがうら市,38522,435,435,435,0,0,4611,True,output/sumo/regions/08230/derived/edge_id_mapping.csv,2026-05-18T12:09:30
08231,桜川市,51831,1093,1093,1093,0,0,5663,True,output/sumo/regions/08231/derived/edge_id_mapping.csv,2026-05-18T12:09:36
08233,行方市,59262,4,4,4,0,0,64,True,output/sumo/regions/08233/derived/edge_id_mapping.csv,2026-05-18T12:09:40
08234,鉾田市,62607,320,320,320,0,0,2514,True,output/sumo/regions/08234/derived/edge_id_mapping.csv,2026-05-18T12:10:33
08235,つくばみらい市,28673,811,811,811,0,0,3757,True,output/sumo/regions/08235/derived/edge_id_mapping.csv,2026-05-18T12:11:07
08236,小美玉市,47004,204,204,204,0,0,2272,True,output/sumo/regions/08236/derived/edge_id_mapping.csv,2026-05-18T12:11:49
08302,茨城町,30344,584,584,584,0,0,5220,True,output/sumo/regions/08302/derived/edge_id_mapping.csv,2026-05-18T12:12:19
08309,大洗町,8150,0,0,0,0,0,0,True,output/sumo/regions/08309/derived/edge_id_mapping.csv,2026-05-18T12:12:29
08310,城里町,34183,1030,1030,1030,0,0,12732,True,output/sumo/regions/08310/derived/edge_id_mapping.csv,2026-05-18T12:12:58
08364,大子町,54985,1004,1004,1004,0,0,11104,True,output/sumo/regions/08364/derived/edge_id_mapping.csv,2026-05-18T12:13:34
08442,美浦村,14294,230,230,230,0,0,876,True,output/sumo/regions/08442/derived/edge_id_mapping.csv,2026-05-18T12:13:43
08443,阿見町,30911,297,297,297,0,0,2295,True,output/sumo/regions/08443/derived/edge_id_mapping.csv,2026-05-18T12:14:02
08447,河内町,8962,812,812,812,0,0,3178,True,output/sumo/regions/08447/derived/edge_id_mapping.csv,2026-05-18T12:14:08
08521,八千代町,23740,780,780,780,0,0,5382,True,output/sumo/regions/08521/derived/edge_id_mapping.csv,2026-05-18T12:14:22
08542,五霞町,9756,0,0,0,0,0,0,True,output/sumo/regions/08542/derived/edge_id_mapping.csv,2026-05-18T12:14:31
08546,境町,18868,636,636,636,0,0,3058,True,output/sumo/regions/08546/derived/edge_id_mapping.csv,2026-05-18T12:14:50
08564,利根町,8484,384,384,384,0,0,1510,True,output/sumo/regions/08564/derived/edge_id_mapping.csv,2026-05-18T12:14:55
