city_code,city_name,origin_count,vehicle_count_10pct_total,vehicle_count_full_total,tenpct_available,tenpct_stranded_main_count,recommendation,reason
08201,水戸市,611,2647,23518,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08202,日立市,107,488,4336,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08203,土浦市,121,611,5529,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08204,古河市,284,1052,9273,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08205,石岡市,296,521,3682,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08207,結城市,157,612,5402,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08208,龍ケ崎市,207,1102,9981,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08210,下妻市,150,438,3640,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08211,常総市,405,1151,9569,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08212,常陸太田市,264,414,2799,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08214,高萩市,104,547,5011,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08215,北茨城市,152,632,5634,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08216,笠間市,384,906,7149,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08217,取手市,259,1302,11754,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08219,牛久市,108,390,3313,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08220,つくば市,501,1530,12798,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08221,ひたちなか市,153,724,6477,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08223,潮来市,38,199,1806,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08224,守谷市,18,40,333,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08225,常陸大宮市,90,149,1051,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08226,那珂市,24,61,498,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08227,筑西市,526,1704,14471,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08228,坂東市,325,777,6242,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08229,稲敷市,297,618,4656,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08230,かすみがうら市,174,316,2267,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08231,桜川市,255,618,4905,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08233,行方市,3,7,61,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08234,鉾田市,146,276,2004,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08235,つくばみらい市,202,422,3293,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08236,小美玉市,157,294,2167,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08302,茨城町,227,442,3319,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08309,大洗町,2,5,40,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08310,城里町,186,280,1875,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08364,大子町,203,349,2450,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08442,美浦村,36,115,982,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08443,阿見町,69,249,2115,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08447,河内町,138,261,1893,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08521,八千代町,208,409,3113,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08542,五霞町,7,16,128,yes,0,run_full,full車両数が1000台以下で実行負荷が比較的小さい
08546,境町,86,236,1891,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
08564,利根町,53,174,1457,yes,0,representative_or_defer,10pctで大きな問題が見えず、full車両数が多いため代表地域方式を優先
