city_code,city_name,scenario,vehicle_count,arrived_count,not_arrived_count,reroute_failed_count,long_stopped_count,departure_blocked_count,stranded_main_count,closure_event_count,final_closed_sumo_edge_count,vehicle_log,closure_log,congestion_log,summary,updated_at,run_id
08211,常総市,small,405,405,0,0,0,0,0,8,8968,output/sumo/regions/08211/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08211/results/scenario_a_small_closure_log.csv,output/sumo/regions/08211/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08211/results/scenario_a_small_traci_summary.json,2026-05-15T13:55:02,
08201,水戸市,small,611,611,0,0,0,0,0,8,16389,output/sumo/regions/08201/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08201/results/scenario_a_small_closure_log.csv,output/sumo/regions/08201/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08201/results/scenario_a_small_traci_summary.json,2026-05-18T14:43:29,
08202,日立市,small,107,107,0,0,0,0,0,8,2927,output/sumo/regions/08202/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08202/results/scenario_a_small_closure_log.csv,output/sumo/regions/08202/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08202/results/scenario_a_small_traci_summary.json,2026-05-18T14:46:09,
08203,土浦市,small,121,121,0,0,0,0,0,8,3241,output/sumo/regions/08203/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08203/results/scenario_a_small_closure_log.csv,output/sumo/regions/08203/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08203/results/scenario_a_small_traci_summary.json,2026-05-18T14:48:09,
08204,古河市,small,284,284,0,0,0,0,0,8,5916,output/sumo/regions/08204/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08204/results/scenario_a_small_closure_log.csv,output/sumo/regions/08204/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08204/results/scenario_a_small_traci_summary.json,2026-05-18T14:50:29,
08205,石岡市,small,296,296,0,0,0,0,0,8,7661,output/sumo/regions/08205/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08205/results/scenario_a_small_closure_log.csv,output/sumo/regions/08205/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08205/results/scenario_a_small_traci_summary.json,2026-05-18T14:52:45,
08207,結城市,small,157,157,0,0,0,0,0,8,2375,output/sumo/regions/08207/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08207/results/scenario_a_small_closure_log.csv,output/sumo/regions/08207/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08207/results/scenario_a_small_traci_summary.json,2026-05-18T14:53:53,
08208,龍ケ崎市,small,194,194,0,0,0,0,0,8,4613,output/sumo/regions/08208/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08208/results/scenario_a_small_closure_log.csv,output/sumo/regions/08208/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08208/results/scenario_a_small_traci_summary.json,2026-05-18T14:55:01,
08210,下妻市,small,150,150,0,0,0,0,0,8,3421,output/sumo/regions/08210/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08210/results/scenario_a_small_closure_log.csv,output/sumo/regions/08210/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08210/results/scenario_a_small_traci_summary.json,2026-05-18T14:56:15,
08212,常陸太田市,small,264,264,0,0,0,0,0,8,12232,output/sumo/regions/08212/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08212/results/scenario_a_small_closure_log.csv,output/sumo/regions/08212/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08212/results/scenario_a_small_traci_summary.json,2026-05-18T14:58:48,
